Name,Population,knownNames
Kanpur Dehat,2253133.21,Kanpur Dehat
Kanpur Nagar,5746742.579,Kanpur Nagar
Kanshiram Nagar,1802220.314,Kanshiram Nagar
Kapurthala ,1022546.739,Kapurthala 
Karaikal,251158.4768,Karaikal
Karauli,1829226.291,Karauli
Karbi Anglong,1199599.027,Karbi Anglong
Kargil,176622.0288,Kargil
Karimganj,1541263.718,Karimganj
Karimnagar,4736951.834,Karimnagar
Karnal,1888278.426,Karnal
Karur ,1335300.019,Karur 
Kasaragod,1639971.2,Kasaragod
Kathua,773256.064,Kathua
Katihar,3852298.778,Katihar
Katni ,1620737.485,Katni 
Kaushambi,2006533.222,Kaushambi
Kendrapara ,1806788.838,Kendrapara 
Kendujhar,2260093.875,Kendujhar
Khagaria,2090941.798,Khagaria
Khammam,3509020.928,Khammam
Khandwa (East Nimar),1643340.518,Khandwa (East Nimar)
Khargone (West Nimar),2349548.902,Khargone (West Nimar)
Kheda,2884975.744,Kheda
Kheri,5044247.219,Kheri
Khordha ,2824498.611,Khordha 
Khunti,667196.544,Khunti
Kinnaur,105521.3824,Kinnaur
Kiphire,92830.6176,Kiphire
Kishanganj,2120437.76,Kishanganj
Kishtwar,289385.0624,Kishtwar
Koch Bihar ,3536261.478,Koch Bihar 
Kodagu,695588.6336,Kodagu
Kodarma,898475.2896,Kodarma
Kohima,336164.1472,Kohima
Kokrajhar,1112830.925,Kokrajhar
Kolar,1927261.414,Kolar
Kolasib,105313.152,Kolasib
Kolhapur,4862055.654,Kolhapur
Kolkata,5640652.954,Kolkata
Kollam,3305814.4,Kollam
Koppal,1743515.648,Koppal
Koraput,1730629.197,Koraput
Korba ,1513609.216,Korba 
Koriya,826545.4848,Koriya
Kota,2447351.962,Kota
Kottayam,2476876.774,Kottayam
Kozhikode,3871445.939,Kozhikode
Krishna,5666624.051,Krishna
Krishnagiri,2358032.41,Krishnagiri
Kulgam,532471.4752,Kulgam
Kullu,549305.5232,Kullu
Kupwara,1091772.058,Kupwara
Kurnool,5084663.987,Kurnool
Kurukshetra,1210063.232,Kurukshetra
Kurung Kumey,115500.1344,Kurung Kumey
Kushinagar,4471363.994,Kushinagar
Lahul & Spiti,39593.8816,Lahul & Spiti
Lakhimpur,1307256.653,Lakhimpur
Lakhisarai,1255544.013,Lakhisarai
Lakshadweep,80874.9312,Lakshadweep
Lalitpur,1532365.005,Lalitpur
Latehar,911921.2032,Latehar
Latur,3078543.462,Latur
Lawngtlai,147886.2336,Lawngtlai
Leh(Ladakh),167446.0928,Leh(Ladakh)
Lohardaga,579269.376,Lohardaga
Lohit,182798.6944,Lohit
Longleng,63327.1296,Longleng
Lower Dibang Valley,67837.952,Lower Dibang Valley
Lower Subansiri,104152.832,Lower Subansiri
Lucknow,5757492.787,Lucknow
Ludhiana,4388818.202,Ludhiana
Lunglei,202495.2832,Lunglei
Madhepura,2511010.253,Madhepura
Madhubani,5628968.218,Madhubani
Madurai,3811183.309,Madurai
Mahamaya Nagar,1962769.715,Mahamaya Nagar
Mahasamund,1295486.618,Mahasamund
Mahbubnagar,5084118.323,Mahbubnagar
Mahe,52453.9904,Mahe
Mahendragarh,1156667.187,Mahendragarh
Mahesana,2552784.282,"Mahesana,mehsana"
Mahoba,1098801.715,Mahoba
Mahrajganj,3367691.443,Mahrajganj
Mainpuri,2343882.778,Mainpuri
Malappuram,5159246.848,Malappuram
Maldah ,5003607.168,Maldah 
Malkangiri  ,769188.0448,Malkangiri  
Mamit,108335.0016,Mamit
Mandi,1254120.269,Mandi
